 0 1 2 3 4
575 -1.3356678 -1.2819223 -2.717968 0.20296827 -0.4951691
74 0.43088856 0.256936 -0.9194228 -1.4361556 -1.1444468
75 -0.26003855 -0.49584752 0.893268 1.0462161 -0.26316568
76 -0.6474813 -0.081931345 -0.54361 -0.9544054 0.68415695
77 -0.99327546 -1.349453 -1.1561204 1.260426 -0.023644228
576 0.8548077 -0.76720446 -1.4448109 -0.4905953 -0.48858333
78 -0.2923077 0.5337584 0.43077424 1.2692354 0.68165046
577 0.26432696 -0.27330923 0.7758363 0.2472123 1.8497198
79 -0.51660687 1.2250977 2.483565 1.6200421 -0.28599313
578 0.4350794 0.50899035 1.427951 -0.06505514 1.2783827
80 -1.0373765 1.8410736 0.8716221 0.63753295 1.4117119
579 -0.43122566 0.60107327 -1.9388266 -0.9826178 -1.2579192
580 -0.7414366 -1.6472142 0.78885746 1.9724251 -0.9156492
581 -0.16222283 -0.96257925 -1.8332424 1.1144253 -1.3286269
582 -0.64046 -0.12871835 2.781569 -1.2746418 0.44026914
583 0.74874896 2.9516938 -0.083554395 0.18721533 0.46627176
584 1.4870708 1.0478656 -2.319477 -0.8858244 0.7615114
585 2.1570334 0.42219347 -1.1988592 -0.27311692 1.7138771
586 0.5039851 -1.0199671 -0.2635584 -0.7988576 -0.23302962
587 0.14194101 -0.4625739 -0.79202557 0.3459456 1.4086778
588 1.1103084 -0.16983016 1.7178406 0.07361146 -1.0774635
589 -0.91490245 -0.8829234 -1.015271 -1.2286971 0.15922265
590 -1.1509694 -0.048386164 -0.08063192 0.30451176 -0.890592
591 -0.5174489 -1.8556637 -1.3036084 1.4211799 0.3028674
592 1.251879 1.5650083 0.82699466 0.07931093 -0.4188108
593 0.17270501 1.3325955 -1.5181574 -1.5964521 -1.0224289
594 -0.16139206 0.2655675 -0.5413182 -0.43861088 -0.31633314
82 -0.079817384 -0.53914857 -0.5393364 2.3978887 -3.0851023
84 -1.2650305 0.12984845 -0.00013231733 0.68998474 -0.74222314
85 -0.94830567 0.41614503 -0.56114876 -1.1366272 -0.59733284
595 -0.9163675 0.88239944 1.6478246 -0.69284517 0.14615129
596 -0.1583984 0.6220973 0.8946668 -1.423605 -1.1584435
